Year,State,Data_Value,Sex,lon,lat,AVG(Data_Value)
2007,DC,76.2,Female,-77.01629654,38.90478149,464.4
2008,DC,79.0,Female,-77.01629654,38.90478149,458.25
2009,DC,63.6,Female,-77.01629654,38.90478149,417.35
2010,DC,69.0,Female,-77.01629654,38.90478149,405.125
2011,DC,59.9,Female,-77.01629654,38.90478149,393.95
2012,DC,70.6,Female,-77.01629654,38.90478149,454.85
2013,DC,72.7,Female,-77.01629654,38.90478149,430.55
2014,DC,68.3,Female,-77.01629654,38.90478149,399.07500000000005
2015,DC,69.6,Female,-77.01629654,38.90478149,387.35
2016,DC,77.5,Female,-77.01629654,38.90478149,428.6
2017,DC,77.7,Female,-77.01629654,38.90478149,401.15
2018,DC,75.9,Female,-77.01629654,38.90478149,384.85
2019,DC,74.9,Female,-77.01629654,38.90478149,389.55
2000,DE,32.4,Female,-75.56832149,39.0861975,281.78333333333336
2001,DE,36.3,Female,-75.56832149,39.0861975,271.06666666666666
2002,DE,34.2,Female,-75.56832149,39.0861975,279.9833333333333
2003,DE,33.0,Female,-75.56832149,39.0861975,268.85833333333335
2004,DE,36.6,Female,-75.56832149,39.0861975,280.6416666666667
2005,DE,39.2,Female,-75.56832149,39.0861975,273.76666666666665
2006,DE,36.0,Female,-75.56832149,39.0861975,244.83333333333334
2007,DE,34.9,Female,-75.56832149,39.0861975,244.36666666666665
2008,DE,36.2,Female,-75.56832149,39.0861975,230.225
2009,DE,41.2,Female,-75.56832149,39.0861975,229.09166666666667
2010,DE,35.5,Female,-75.56832149,39.0861975,214.35833333333335
2011,DE,32.3,Female,-75.56832149,39.0861975,203.36666666666665
2012,DE,33.5,Female,-75.56832149,39.0861975,194.95833333333334
2013,DE,32.0,Female,-75.56832149,39.0861975,189.49166666666665
2014,DE,32.8,Female,-75.56832149,39.0861975,194.97500000000002
2015,DE,34.2,Female,-75.56832149,39.0861975,198.86666666666667
2016,DE,32.6,Female,-75.56832149,39.0861975,191.23333333333332
2017,DE,32.7,Female,-75.56832149,39.0861975,207.1666666666667
2018,DE,29.7,Female,-75.56832149,39.0861975,195.50833333333333
2019,DE,29.6,Female,-75.56832149,39.0861975,201.02499999999998
2000,FL,18.4,Female,-82.3582731,29.67473333,205.37421875
2001,FL,18.2,Female,-82.3582731,29.67473333,211.6109375
2002,FL,19.0,Female,-82.3582731,29.67473333,220.69882812500003
2003,FL,16.9,Female,-82.3582731,29.67473333,228.7003906250001
2004,FL,16.4,Female,-82.3582731,29.67473333,226.44414062499993
2005,FL,18.9,Female,-82.3582731,29.67473333,235.39101562499988
2006,FL,19.0,Female,-82.3582731,29.67473333,226.9074218750001
2007,FL,17.9,Female,-82.3582731,29.67473333,220.05507812500005
2008,FL,20.2,Female,-82.3582731,29.67473333,214.78046875000013
2009,FL,21.5,Female,-82.3582731,29.67473333,216.00859375000013
2010,FL,21.2,Female,-82.3582731,29.67473333,207.94023437499996
2011,FL,22.3,Female,-82.3582731,29.67473333,203.94687499999986
2012,FL,22.4,Female,-82.3582731,29.67473333,204.79960937500002
2013,FL,25.0,Female,-82.3582731,29.67473333,209.26718749999998
2014,FL,25.2,Female,-82.3582731,29.67473333,212.49492187500002
2015,FL,19.1,Female,-82.3582731,29.67473333,203.93125000000006
2016,FL,19.4,Female,-82.3582731,29.67473333,211.0277343749999
2017,FL,20.7,Female,-82.3582731,29.67473333,224.00195312500009
2018,FL,22.5,Female,-82.3582731,29.67473333,231.0203125000001
2019,FL,21.8,Female,-82.3582731,29.67473333,226.50859375000002
